Roll Year,Jurisdiction,Roll Number (Formatted),Mailing Address Line 6,Situs Unit Number,Situs Street Address,Previous Roll Value,Actual Value Land Total,Actual Value Impr Total,Actual Value Total
2023,District of Oak Bay,01-0001-00,V8R 1G2,,2291 CEDAR HILL CROSS,9629000,8992000,1116000,10108000
2023,District of Oak Bay,01-0001-00,V8R 1G2,,2291 CEDAR HILL CROSS,9629000,8992000,1116000,10108000
2023,District of Oak Bay,01-0002-00,V8R 0A7,, ,76100,82600,0,82600
2023,District of Oak Bay,01-0002-01,V8R 0A7,, ,91300,99200,0,99200
2023,District of Oak Bay,01-0003-00,V6Z 0B9,, ISLANDS,1604000,1855000,0,1855000
2023,District of Oak Bay,01-0005-00,V8R 1G2,, MARY TOD,3858000,3858000,0,3858000
2023,District of Oak Bay,01-0008-00,V4N 0E8,, ,16666000,0,9611000,9611000
2023,District of Oak Bay,01-0009-01,T2P 4L4,, ,3126000,0,1563000,1563000
2023,District of Oak Bay,01-0010-00,V8S 2J5,,137 BARKLEY,2302000,2365000,379000,2744000
2023,District of Oak Bay,01-0012-00,V8R 1G2,, CADBORO BAY,1395200,1511000,5700,1516700
2023,District of Oak Bay,01-0014-00,V8S 2L9,,207 BEACH,3680000,2653000,882000,3535000
2023,District of Oak Bay,01-0015-00,V8S 2L9,,205 BEACH,2508000,2019000,322000,2341000
2023,District of Oak Bay,01-0016-00,V8P 4P5,,820 VICTORIA,4530000,3635000,1575000,5210000
2023,District of Oak Bay,01-0021-00,V8R 1G2,, MONTEREY,1864000,2145000,0,2145000
2023,District of Oak Bay,01-0022-00,V8R 1G2,, MONTEREY,1385000,1597000,0,1597000
2023,District of Oak Bay,01-0023-00,V8S 4T7,,458 MONTEREY,2071000,1614000,622000,2236000
2023,District of Oak Bay,01-0024-00,V8S 2P2,,2199 LAFAYETTE,2074000,1553000,688000,2241000
2023,District of Oak Bay,01-0025-00,V8S 4T7,,444 MONTEREY,2437000,2215000,417000,2632000
2023,District of Oak Bay,01-0026-00,V6K 1C8,,479 MONTEREY,1894000,1514000,552000,2066000
2023,District of Oak Bay,01-0027-00,V8S 4T8,,487 MONTEREY,1815000,1548000,398000,1946000
2023,District of Oak Bay,01-0028-00,V8S 4T8,,513 MONTEREY,3666000,2074000,1965000,4039000
2023,District of Oak Bay,01-0029-00,V8S 4Z5,,444 TRANSIT,2408000,2377000,438000,2815000
2023,District of Oak Bay,01-0030-00,V8S 4Z5,,476 TRANSIT,2672000,1733000,1506000,3239000
2023,District of Oak Bay,01-0031-00,V8S 2M4,,450 BEACH,2618000,2307000,749000,3056000
2023,District of Oak Bay,01-0032-00,V8S 2M4,,430 BEACH,3487000,2533000,1587000,4120000
